Number,Name,Address,Latitude,Longitude
5,05- HOTEL DE VILLE,RUE DE L HOPITAL,49.44250558644192,1.098266338219107
14,14- BALZAC - BOULEVARD DE L' EUROPE,BOULEVARD DE L' EUROPE,49.42582345143276,1.087912810909562
23,23 - HANGAR 106,Quai Jean de Béthencourt devant le Hangar 106 76100 ROUEN,49.440312,1.075491
10,10- PLACE CARNOT,COURS CLEMENCEAU,49.4336973759198,1.09090294278958
20,20 - AUBERGE DE JEUNESSE,ROUTE DE DARNETAL,49.441452231089485,1.120087272683398
17,17- SAINT CLEMENT,RUE LECUYER ANGLE RUE LETHUILLIER PINEL,49.42576540125409,1.076303569768087
19,19 - JARDIN DES PLANTES,Avenue des Martyrs de la Résistance angle rue de la mare au parc,49.42174920022087,1.079707617664568
4,04- MUSEE DES BEAUX ARTS,DEVANT N° 39 ALLEE EUGENE DELACROIX,49.44430797679112,1.093579586130271
22,22 - CATHEDRALE,Rue des Carmes angle rue du Gros Horloge,49.440904,1.09396
15,15-GARE,RUE JEANNE D'ARC ANGLE RUE DE LA ROCHEFOUCAULD,49.448285193967465,1.09419956401142
8,08- SAINT MARC,RUE ARMAND CARREL,49.43811211136788,1.100852281910646
2,02- PASTEUR - FAC DE DROIT,AVENUE PASTEUR,49.4442849736749,1.07838302560908
12,12- PLACE DES COTONNIERS,PLACE DES COTONNIERS,49.43087671678897,1.081412105910482
9,09 - REPUBLIQUE - QUAI CORNEILLE,RUE DE LA REPUBLIQUE,49.437489866065405,1.096252291204278
1,01 - THEATRE DES ARTS,DEVANT N°7 BIS RUE JEANNE D'ARC,49.439524149091774,1.088804949870617
6,06- CHU - RUE DE GERMONT,DEVANT N° 6 RUE EDOUARD ADAM,49.441201188322225,1.105985502540096
16,16-ILE LACROIX,AVENUE JACQUES CHASTELLAIN - PARKING DE LA PATINOIRE,49.431521256315975,1.102925918082832
13,13- SAINT SEVER,PLACE SAINT SEVER,49.430880514851474,1.086095305349564
3,03- VIEUX MARCHE,PLACE DU VIEUX MARCHE,49.44340061638054,1.089234065324399
11,11- CLEMENCEAU JOFFRE,COURS CLEMENCEAU,49.43464613956876,1.087959490140167
24,24 - HANGAR 108,Allée Jean de Béthencourt devant LE HANGAR 108 76100 ROUEN,49.441286,1.07176
7,07- CHU - BOULEVARD GAMBETTA,RUE D' AMIENS,49.43885379551624,1.107488426850231
21,21 - SIMONE DE BEAUVOIR,RUE DE LESSARD ANGLE AVENUE DE GRAMMOND,49.427214017510224,1.096418417222262
18,18 - DOCKS,bd ferdinands de lesseps angle rue amedee dormoy,49.44541856175536,1.063998154832871